"SelectionCritera","vendorId","vendorName","purchaseOrder","1099","checkNumber","accountingUnitId","description","salesTax","amount","invoice","pf","date","control"
"transact.yr='18' and transact.period='11'","33556   ","4IMPRINT              ","186226      ","N"," 84268   ","1210121499993370-329-4100","ITEM NO. 140107       ","       0.00","       238.30","6283642 ","F","05/17/18","APAM0508"
"transact.yr='18' and transact.period='11'","33556   ","4IMPRINT              ","186226      ","N"," 84268   ","1210121499993370-329-4100","SET-UP CHARGE         ","       0.00","        20.00","6283642 ","F","05/17/18","APAM0508"
"transact.yr='18' and transact.period='11'","33556   ","4IMPRINT              ","186226      ","N"," 84268   ","1210121499993370-329-4100","ESTIMATED SHIPPING/HAN","       0.00","        11.72","6283642 ","F","05/17/18","APAM0508"
"transact.yr='18' and transact.period='11'","6       ","95 PERCENT GROUP INC. ","186141      ","N"," 83893   ","1210120401007000-329-2200","PA0104 PHONOLOGICAL AW","       0.00","       495.00","25654   ","F","05/03/18","APPG0430"
"transact.yr='18' and transact.period='11'","101549  ","A TASTE OF SOUTHEN MAR","186531      ","N"," 84269   ","5511321399991045-325-9000","FRESH LOCAL PRODUCE   ","       0.00","        46.25","0001    ","P","05/17/18","APBL0511"
"transact.yr='18' and transact.period='11'","101549  ","A TASTE OF SOUTHEN MAR","186531      ","N"," 84269   ","5521321399991045-325-9000","FRESH LOCAL PRODUCE   ","       0.00","        46.25","0001    ","P","05/17/18","APBL0511"
"transact.yr='18' and transact.period='11'","101549  ","A TASTE OF SOUTHEN MAR","186531      ","N"," 84269   ","5521721399991045-325-9000","FRESH LOCAL PRODUCE   ","       0.00","        46.25","0001    ","P","05/17/18","APBL0511"
"transact.yr='18' and transact.period='11'","101549  ","A TASTE OF SOUTHEN MAR","186531      ","N"," 84269   ","5531421399991045-325-9000","FRESH LOCAL PRODUCE   ","       0.00","        46.25","0001    ","P","05/17/18","APBL0511"
"transact.yr='18' and transact.period='11'","101549  ","A TASTE OF SOUTHEN MAR","186531      ","N"," 84450   ","5511321399991045-325-9000","FRESH LOCAL PRODUCE   ","       0.00","        46.25","0002    ","P","05/24/18","APBL0517"
"transact.yr='18' and transact.period='11'","101549  ","A TASTE OF SOUTHEN MAR","186531      ","N"," 84450   ","5521321399991045-325-9000","FRESH LOCAL PRODUCE   ","       0.00","        46.25","0002    ","P","05/24/18","APBL0517"
"transact.yr='18' and transact.period='11'","101549  ","A TASTE OF SOUTHEN MAR","186531      ","N"," 84450   ","5521721399991045-325-9000","FRESH LOCAL PRODUCE   ","       0.00","        46.25","0002    ","P","05/24/18","APBL0517"
"transact.yr='18' and transact.period='11'","101549  ","A TASTE OF SOUTHEN MAR","186531      ","N"," 84450   ","5531421399991045-325-9000","FRESH LOCAL PRODUCE   ","       0.00","        46.25","0002    ","P","05/24/18","APBL0517"
"transact.yr='18' and transact.period='11'","101549  ","A TASTE OF SOUTHEN MAR","186531      ","N"," 84659   ","5511321399991045-325-9000","FRESH LOCAL PRODUCE   ","       0.00","        46.25","0003    ","P","05/31/18","APBL0525"
"transact.yr='18' and transact.period='11'","101549  ","A TASTE OF SOUTHEN MAR","186531      ","N"," 84659   ","5521321399991045-325-9000","FRESH LOCAL PRODUCE   ","       0.00","        46.25","0003    ","P","05/31/18","APBL0525"
"transact.yr='18' and transact.period='11'","101549  ","A TASTE OF SOUTHEN MAR","186531      ","N"," 84659   ","5521721399991045-325-9000","FRESH LOCAL PRODUCE   ","       0.00","        46.25","0003    ","P","05/31/18","APBL0525"
"transact.yr='18' and transact.period='11'","101549  ","A TASTE OF SOUTHEN MAR","186531      ","N"," 84659   ","5531421399991045-325-9000","FRESH LOCAL PRODUCE   ","       0.00","        46.25","0003    ","P","05/31/18","APBL0525"
"transact.yr='18' and transact.period='11'","30724   ","A.H. HATCHER INC.     ","181991      ","N"," 83951   ","1108021199991280-329-7600","BLANKET PURCHASE ORDER","       0.00","       111.00","52472   ","P","05/03/18","APAM0426"
"transact.yr='18' and transact.period='11'","30724   ","A.H. HATCHER INC.     ","180265      ","N"," 83951   ","1108021031006000-408-3700","TRAILER RENTAL #1 FOR ","       0.00","       125.00","52510   ","P","05/03/18","APAM0426"
"transact.yr='18' and transact.period='11'","30724   ","A.H. HATCHER INC.     ","180265      ","N"," 83951   ","1108021031006000-408-3700","TRAILER RENTAL #3 FOR ","       0.00","       125.00","52511   ","P","05/03/18","APAM0426"
