"SelectionCritera","vendorId","vendorName","purchaseOrder","1099","checkNumber","accountingUnitId","description","salesTax","amount","invoice","pf","date","control"
"transact.yr='18' and transact.period='6'","101385  ","A.C.S LLC             ","183920      ","M"," 80458   ","1108021199991280-209-3000","REMOVE AND REPLACE 20'","       0.00","      3835.00","100     ","F","12/14/17","APAM1206"
"transact.yr='18' and transact.period='6'","30724   ","A.H. HATCHER INC.     ","180266      ","N"," 80368   ","1108021199991280-329-7600","BLANKET PURCHASE ORDER","       0.00","       111.00","51299   ","P","12/07/17","APAM1130"
"transact.yr='18' and transact.period='6'","30724   ","A.H. HATCHER INC.     ","180265      ","N"," 80368   ","1108021031006000-408-3700","TRAILER RENTAL #1 FOR ","       0.00","       125.00","51342   ","P","12/07/17","APAM1204"
"transact.yr='18' and transact.period='6'","30724   ","A.H. HATCHER INC.     ","180265      ","N"," 80368   ","1108021031006000-408-3700","TRAILER RENTAL #3 FOR ","       0.00","       125.00","51343   ","P","12/07/17","APAM1204"
"transact.yr='18' and transact.period='6'","30724   ","A.H. HATCHER INC.     ","180265      ","N"," 80368   ","1108021031006000-408-3700","TRAILER RENTAL #4 FOR ","       0.00","       125.00","51348   ","P","12/07/17","APAM1204"
"transact.yr='18' and transact.period='6'","30724   ","A.H. HATCHER INC.     ","181181      ","N"," 80768   ","1108021031006020-329-8200","OPEN PO FOR HAULING/RE","       0.00","       125.00","51344   ","P","12/21/17","APAM1214"
"transact.yr='18' and transact.period='6'","30724   ","A.H. HATCHER INC.     ","181181      ","N"," 80768   ","1108021031006020-329-8200","OPEN PO FOR HAULING/RE","       0.00","       125.00","51346   ","P","12/21/17","APAM1214"
"transact.yr='18' and transact.period='6'","101380  ","AACPS ATHLETICS       ","0           ","N"," 80301   ","1131420501009999-209-3306","NHS INDOOR TRACK REG  ","       0.00","       200.00","111517  "," ","12/07/17","APAM1128"
"transact.yr='18' and transact.period='6'","101380  ","AACPS ATHLETICS       ","0           ","N"," 80301   ","1121320501009999-209-3306","CHS INDOOR TRACK REG  ","       0.00","       200.00","111617  "," ","12/07/17","APAM1130"
"transact.yr='18' and transact.period='6'","109     ","ABC SUPPLY CO. INC.   ","180136      ","N"," 80302   ","1108021199991280-329-7300","BLANKET PURCHASE ORDER","       0.00","       833.16","65648195","P","12/07/17","APAM1130"
"transact.yr='18' and transact.period='6'","185     ","ABS COMPLETE PRINTING ","183763      ","N"," 80459   ","1131420215012550-329-1100","1000 3 PART DISCIPLINE","       0.00","       319.00","124194  ","F","12/14/17","APAM1206"
"transact.yr='18' and transact.period='6'","100995  ","ACTIVE NETWORK        ","183768      ","N"," 80460   ","1208020501005680-205-1100","SWIM MEET MANAGER UPGR","       0.00","       217.72","11094738","F","12/14/17","APAM1211"
"transact.yr='18' and transact.period='6'","100995  ","ACTIVE NETWORK        ","183768      ","N"," 80460   ","1208020501005680-205-1100","SWIM MM 7.0 VERSION SU","       0.00","        20.84","11094738","F","12/14/17","APAM1211"
"transact.yr='18' and transact.period='6'","100995  ","ACTIVE NETWORK        ","183768      ","N"," 80460   ","1208020501005680-205-1100","SWIM MM 7.0 SITE LICEN","       0.00","       260.44","11094738","F","12/14/17","APAM1211"
"transact.yr='18' and transact.period='6'","101033  ","AD ASTRA INC.         ","184071      ","N"," 80706   ","1108020616001350-209-0460","ENCUMBER FUNDS TO AD A","       0.00","       108.00","47816   ","P","12/21/17","APAM1214"
"transact.yr='18' and transact.period='6'","514     ","DIANA C ADAMS         ","0           ","N"," 80303   ","1208021499994010-408-0100","                      ","       0.00","         9.89","092617  "," ","12/07/17","APPG1201"
"transact.yr='18' and transact.period='6'","514     ","DIANA C ADAMS         ","0           ","N"," 80303   ","1208021499994010-408-0100","                      ","       0.00","         7.65","101017  "," ","12/07/17","APPG1201"
"transact.yr='18' and transact.period='6'","514     ","DIANA C ADAMS         ","0           ","N"," 80461   ","1108020501009999-408-0100","                      ","       0.00","        12.84","1127-112"," ","12/14/17","APPG1207"
"transact.yr='18' and transact.period='6'","514     ","DIANA C ADAMS         ","0           ","N"," 80880   ","1208021499994010-408-0100","                      ","       0.00","       138.14","1116-113"," ","12/22/17","APPG1222"
"transact.yr='18' and transact.period='6'","581     ","ADEK PRODUCTIONS      ","181920      ","N"," 80707   ","1108020215012550-499-2400","ADEK ENCUMBRANCE GRADU","       0.00","      5400.00","37667   ","F","12/21/17","APAM1218"
"transact.yr='18' and transact.period='6'","76723   ","ADRIANE HOPE SAYLES MA","181281      ","M"," V507387 ","1108020604001305-209-1000","ENCUMBRANCE FOR SLP SE","       0.00","      2062.50","2017-201","P","12/14/17","APPG1207"
"transact.yr='18' and transact.period='6'","76723   ","ADRIANE HOPE SAYLES MA","181281      ","M"," V507387 ","1108020604001305-209-1000","ENCUMBRANCE FOR SLP SE","       0.00","       112.50","2017-201","P","12/14/17","APPG1207"
"transact.yr='18' and transact.period='6'","101258  ","ADVANCED MEDICAL PERSO","182125      ","N"," 80304   ","1208020604007527-209-9900","ENCUMBRANCE FOR SLP SE","       0.00","       836.40","207723  ","P","12/07/17","APAM1128"
"transact.yr='18' and transact.period='6'","101258  ","ADVANCED MEDICAL PERSO","182125      ","N"," 80304   ","1208020604007527-209-9900","ENCUMBRANCE FOR SLP SE","       0.00","       965.07","207723  ","P","12/07/17","APAM1128"
